14 4
I1 4 -3
I1 1 3
I1 4 -3
I1 1 3
I1 1 2
I1 4 -3
I1 1 3
O 3 -2
I2 1 0
I2 1 0
I2 1 0
I2 1 0
I2 1 0
I1 3 -1
I1 1 3
I1 4 -2
I1 1 0
T4 1 2
I1 1 3
I2 1 0
I2 1 0
J4 2 -1
L3 1 1
T4 2 -1
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
S2 3 -2
Z2 1 2
Z2 1 2
T1 2 -1
O 1 1
O 2 0
O 3 -1
T2 3 -1
S2 2 -1
J4 1 1
I1 1 3
I1 4 0
I1 4 0
O 3 0
T2 1 0
T4 1 0
I1 1 2
I1 1 1
L3 1 1
J1 1 1
J3 1 0
J3 1 0
L2 2 -1
Z2 1 2
Z1 2 -1
J1 1 2
L2 1 0
T4 3 -2
Z2 2 0
I1 3 1
L3 1 0
L2 1 1
J3 2 1
J3 2 -1
I1 4 -3
I1 1 3
I1 4 -3
I1 1 3
I1 1 2
I1 4 -3
I1 1 3
O 3 -2
I2 1 0
I2 1 0
I2 1 0
I2 1 0
I2 1 0
I1 3 -1
I1 1 3
I1 4 -2
I1 1 0
T4 1 2
I1 1 3
I2 1 0
I2 1 0
J4 2 -1
L3 1 1
T4 2 -1
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
S2 3 -2
Z2 1 2
Z2 1 2
T1 2 -1
O 1 1
O 2 0
O 3 -1
T2 3 -1
S2 2 -1
J4 1 1
I1 1 3
I1 4 0
I1 4 0
O 3 0
T2 1 0
T4 1 0
I1 1 2
I1 1 1
L3 1 1
J1 1 1
J3 1 0
J3 1 0
L2 2 -1
Z2 1 2
Z1 2 -1
J1 1 2
L2 1 0
T4 3 -2
Z2 2 0
I1 3 1
L3 1 0
L2 1 1
J3 2 1
J3 2 -1
I1 4 -3
I1 1 3
I1 4 -3
I1 1 3
I1 1 2
I1 4 -3
I1 1 3
O 3 -2
I2 1 0
I2 1 0
I2 1 0
I2 1 0
I2 1 0
I1 3 -1
I1 1 3
I1 4 -2
I1 1 0
T4 1 2
I1 1 3
I2 1 0
I2 1 0
J4 2 -1
L3 1 1
T4 2 -1
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
S2 3 -2
Z2 1 2
Z2 1 2
T1 2 -1
O 1 1
O 2 0
O 3 -1
T2 3 -1
S2 2 -1
J4 1 1
I1 1 3
I1 4 0
I1 4 0
O 3 0
T2 1 0
T4 1 0
I1 1 2
I1 1 1
L3 1 1
J1 1 1
J3 1 0
J3 1 0
L2 2 -1
Z2 1 2
Z1 2 -1
J1 1 2
L2 1 0
T4 3 -2
Z2 2 0
I1 3 1
L3 1 0
L2 1 1
J3 2 1
J3 2 -1
I1 4 -3
I1 1 3
I1 4 -3
I1 1 3
I1 1 2
I1 4 -3
I1 1 3
O 3 -2
I2 1 0
I2 1 0
I2 1 0
I2 1 0
I2 1 0
I1 3 -1
I1 1 3
I1 4 -2
I1 1 0
T4 1 2
I1 1 3
I2 1 0
I2 1 0
J4 2 -1
L3 1 1
T4 2 -1
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
Z2 1 2
S2 3 -2
